"filename", "language", "JavaScript", "TypeScript", "JSON", "GraphQL", "Markdown", "JavaScript React", "TypeScript React", "SCSS", "HTML", "YAML", "comment", "blank", "total"
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\actions\user.actions.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\Loading.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 6, 4, 50
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\Pagination.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 7, 6, 59
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ImageCarousel.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 9, 9, 99
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ImagePicker.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 42
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\Loading.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\NavBar.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 251, 0, 0, 0, 48, 15, 314
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ProductCard.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 50, 8, 168
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ProductTypePage.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 58
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\__tests__\ViewProduct.test.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 24, 7, 148
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\alerts\ConfirmDialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 4, 92
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\alerts\DeleteImageDialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 5, 83
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ImageCarousel.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 59, 9, 248
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ImagePicker.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 242, 0, 0, 0, 44, 13, 299
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\NonIdealState.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 10, 6, 68
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\OutlinedContainer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 12, 6, 91
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\ProductCard.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 357, 0, 0, 0, 19, 6, 382
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\interfaces\ImageCarousel.i.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\containers\interfaces\ImagePicker.i.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\ChipContainer.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 9, 6, 64
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\LoadingButton.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\inputs\PasswordInput.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\interfaces\NavBar.i.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\interfaces\PasswordInput.i.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 8, 77
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_filter.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 1, 9, 74
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_image-picker.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 3, 25
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_product-list.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 7, 58
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_product.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_tags.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\scss\_view.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 7, 47
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\styles\imagePicker.style.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\common\styles\viewProduct.style.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\mutations.ts", "TypeScript", 0, 693, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 698
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\queries.ts", "TypeScript", 0, 686, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 691
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\schema.json", "JSON", 0, 0, 5445, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5445
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\graphql\subscriptions.ts", "TypeScript", 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 352
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\hooks\useScreenWidth.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\index.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 6, 8, 92
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\basket.redux.i.ts", "TypeScript", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 61
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\products.redux.i.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 72
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\interfaces\user.redux.i.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\AccountsPage.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 167, 0, 0, 0, 0, 14, 181
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\AdminProducts.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Orders.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 0, 13, 175
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\PasswordChange.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 4, 10, 156
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\ProductsList.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 15, 9, 135
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Profile.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 723, 0, 0, 0, 144, 18, 885
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\SearchFilter.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 216, 0, 0, 0, 32, 10, 258
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\UpdateProduct.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 648, 0, 0, 0, 135, 21, 804
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\Variants.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 643, 0, 0, 0, 0, 12, 655
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\VerificationDialog.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 6, 87
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\components\ViewProduct.tsx", "TypeScript React", 0, 0, 0, 0, 0, 0, 183, 0, 0, 0, 29, 11, 223
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Accounts.i.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ConfirmDialog.i.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\NewProduct.i.ts", "TypeScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\PasswordChange.i.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Product.i.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 46
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ProductList.i.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Profile.i.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 65
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\SearchFilter.i.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\UpdateProduct.i.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\Variants.i.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 58
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\interfaces\ViewProduct.i.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\james\Documents\GitHub\francesca-jade-creates\src\pages\accounts\scss\_account-page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 4, 44
